id,province,district,subdistrict,address,property_type,total_units,bedrooms,baths,floor_area,floor_level,land_area,latitude,longitude,nearby_stations,nearby_station_distance,nearby_bus_stops,nearby_supermarkets,nearby_shops,year_built,month_built,facilities,price
10918223,Bangkok,Chatuchak,Lat Yao,2033 Phaholyothin Road,Condo,768.0,2.0,1.0,46,2,117.0,13.838551,100.57451,2,"[['N12 Sena Nikhom BTS', 310], ['N13 Kasetsart University BTS', 510]]",20.0,7.0,10,2014,February,"['Car Park', 'Covered car park', 'CCTV', 'Gymnasium room', 'Library', 'Lift lobby', 'Lounge', '24 hours security', 'Steam bath']",4300000
10922676,Samut Prakan,Mueang Samut Prakan,Thepharak,Thepharak,Townhouse,600.25,3.0,3.0,108,1,132.0,13.6309772,100.6168401,0,Unknown,12.0,13.0,6,2000,March,['24 hours security'],3230000
10892608,Bangkok,Prawet,Dok Mai,Dok Mai,Townhouse,432.5,4.0,2.0,117,1,76.0,13.6759375,100.6940625,0,Unknown,3.0,1.0,4,2000,March,[],3600000
10720889,Nonthaburi,Bang Bua Thong,Phimon Rat,Phimonrat,Townhouse,264.75,4.0,3.0,110,1,128.0,13.9153875,100.3984844,0,Unknown,6.0,7.0,7,2000,December,"['Covered car park', ""Children's Playground"", 'Community Garden', 'Community Plaza', 'Playground', '24 hours security']",2900000
10754391,Bangkok,Chatuchak,Chom Phon,. ซอยลาดพร้าว 7 แขวงจอมพล เขตจตุจักร กทม.,Condo,97.0,1.0,1.0,40,6,143.0,13.810435,100.567543,3,"[['BL15 Lat Phrao MRT', 780], ['N9 Ha Yaek Lat Phrao BTS', 920], ['BL14 Phahon Yothin MRT', 960]]",9.0,12.0,20,2017,June,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Library', 'Pavillion', '24 hours security', 'Sky Lounge', 'Swimming pool']",4390000
10561994,Bangkok,Huai Khwang,Huai Khwang,ถนน ประชาอุทิศ,Condo,875.0,2.0,1.0,60,2,158.0,13.775817,100.575734,1,"[['BL18 Huai Khwang MRT', 340]]",12.0,20.0,20,2014,February,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",3650000
7616895,Bangkok,Phra Khanong,Bang Chak,2578 Soi Sukhumvit 66 Sukhumvit Road,Condo,298.0,1.0,1.0,35,24,173.0,13.681451,100.609938,1,"[['E12 Udom Suk BTS', 240]]",14.0,11.0,14,2017,January,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Function room', 'Game room', 'Gymnasium room', 'Library', 'Lift lobby', 'Lounge', '24 hours security', 'Swimming pool', 'Wading pool']",5400000
10906912,Bangkok,Suan Luang,Suan Luang,Ramkhamhaeng Road,Condo,1003.0,1.0,1.0,23,1,187.0,13.743283,100.603216,1,"[['A5 Ramkhamhaeng Airport Link', 390]]",17.0,9.0,8,2018,January,"['BBQ pits', 'Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Function room', 'Game room', 'Gymnasium room', 'Lift lobby', 'Sauna', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Wading pool']",1780000
10540762,Bangkok,Watthana,Khlong Tan Nuea,32/2 Sukhumvit 39 Road,Condo,135.0,1.0,1.0,44,1,202.0,13.740195,100.57825,0,Unknown,20.0,18.0,20,2015,August,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Library', 'Lift lobby', 'Putting Green', '24 hours security', 'Swimming pool']",6300000
10980009,Bangkok,Bang Rak,Si Phraya,Si Phraya Road,Condo,384.0,1.0,1.0,52,1,217.0,13.7312279445,100.5221258679,1,"[['BL27 Sam Yan MRT', 830]]",18.0,13.0,20,2023,January,"['Car Park', 'CCTV', 'Fitness corner', 'Jacuzzi', 'Meeting room', 'Sauna', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Wading pool']",5950000
9855083,Bangkok,Huai Khwang,Huai Khwang,ถนน ประชาอุทิศ,Condo,875.0,2.0,1.0,60,5,232.0,13.775817,100.575734,1,"[['BL18 Huai Khwang MRT', 340]]",15.0,20.0,20,2014,February,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",3890000
9840544,Bangkok,Bangkok Yai,Wat Tha Phra,901 Soi Charan Sanitwong 3 Charan Sanitwong Road Yai,Condo,1932.0,1.0,1.0,28,8,247.0,13.732507,100.467091,3,"[['BL01 Tha Phra MRT', 810], ['BL02 Charan 13 MRT', 940], ['BL33 Bang Phai MRT', 950]]",12.0,3.0,1,2016,June,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Lift lobby', 'Lounge', 'Open car park', '24 hours security', 'Swimming pool']",1590000
10724511,Nonthaburi,Pak Kret,Pak Kret,Chaengwattana Road,Condo,427.0,1.0,1.0,34,6,262.0,13.9066980718,100.5249365681,0,Unknown,10.0,7.0,10,2016,February,"['Car Park', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Jogging track', 'Lift lobby', '24 hours security', 'Swimming pool']",2100000
11010958,Bangkok,Bueng Kum,Nuan Chan,"900 Soi Prasert Manutak 33, Kaset - Nawamin Road",Condo,1019.0,1.0,1.0,39,5,277.0,13.8252937333,100.6306763459,0,Unknown,20.0,8.0,20,2010,April,"['Car Park', 'CCTV', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",2700000
10818702,Bangkok,Bueng Kum,Khlong Kum,. ถนนเสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร,Condo,505.0,1.0,1.0,26,6,291.0,13.776403,100.661409,0,Unknown,20.0,7.0,10,2019,September,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Pavillion', '24 hours security', 'Swimming pool']",1860000
10848712,Bangkok,Watthana,Khlong Tan Nuea,175-179 Soi Sukhumvit 39 Sukhumvit Road,Condo,500.0,2.0,1.0,119,1,306.0,13.743154,100.573438,0,Unknown,20.0,12.0,13,1994,April,"['Car Park', 'CCTV', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",7200000
10986761,Bangkok,Bang Kapi,Khlong Chan,5 Lat Phrao Rd,Condo,751.0,2.0,2.0,55,2,321.0,13.7706364,100.6301829,0,Unknown,19.0,15.0,6,2010,January,"['Covered car park', 'CCTV', '24 hours security']",2790000
10975031,Nonthaburi,Bang Kruai,Bang Khun Kong,999/71 นครอืนทร์,Detached House,459.5,3.0,3.0,179,1,336.0,13.8213363,100.4424658,0,Unknown,5.0,7.0,8,2000,May,[],8580000
10114191,Bangkok,Watthana,Khlong Tan Nuea,Sukhumvit 61 Road,Condo,168.0,1.0,1.0,43,1,206.0,13.722653,100.583041,2,"[['E7 Ekkamai BTS', 410], ['E6 Thong Lo BTS', 590]]",10.0,19.0,20,2013,February,"['Car Park', 'CCTV', 'Fitness corner', 'Function room', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",6200000
10716249,Bangkok,Sai Mai,Sai Mai,Saimai Road,Townhouse,250.0,3.0,2.0,72,1,76.0,13.921263,100.663648,0,Unknown,14.0,8.0,4,2017,April,"['Community Garden', 'CCTV', '24 hours security']",2500000
10620204,Bangkok,Khlong Toei,Phra Khanong,Soi Sukhumvit 48,Condo,612.0,2.0,1.0,47,16,158.0,13.711724,100.594785,2,"[['E8 Phra Khanong BTS', 550], ['E9 On Nut BTS', 980]]",15.0,20.0,17,2018,December,"['Covered car park', 'CCTV', 'Fitness corner', 'Pool Deck', 'Roof Terrace', 'Sauna', '24 hours security', 'Swimming pool']",5700000
11028835,Nonthaburi,Mueang Nonthaburi,Bang Khen,Bang Khen,Detached House,737.0,3.0,3.0,160,1,240.0,13.8659345374,100.494220187,1,"[['PP09 Yaek Nonthaburi 1 MRT', 20]]",16.0,6.0,15,2000,October,[],7890000
10891387,Bangkok,Nong Khaem,Nong Khaem,Nong Kham,Detached House,862.0,2.0,2.0,120,2,72.0,13.6958125,100.3408125,0,Unknown,17.0,11.0,4,2000,February,[],3708000
10675303,Samut Prakan,Mueang Samut Prakan,Samrong Nuea,72 Soi Sukhumvit Sukhumvit Road,Condo,987.0,1.0,1.0,32,1,204.0,13.6593142974,100.5975552692,1,"[['E14 Bearing BTS', 460]]",18.0,7.0,20,2017,January,"['BBQ pits', 'Car Park', 'Covered car park', 'Clubhouse', 'CCTV', 'Fitness corner', 'Function room', 'Gymnasium room', 'Jogging track', 'Library', 'Lift lobby', 'Multi-purpose hall', 'Open car park', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Wading pool']",2100000
10901106,Samut Prakan,Bang Phli,Bang Pla,43/3 Thepharak Road,Townhouse,279.0,3.0,2.0,230,1,336.0,13.576934,100.724976,0,Unknown,19.0,7.0,1,2000,December,"['CCTV', '24 hours security']",4590000
10880059,Bangkok,Khan Na Yao,Ram Inthra,"Soi Ramindhra 78, Nawamin Road - Ramintra Road",Condo,2568.0,1.0,1.0,22,14,255.0,13.8366642188,100.6621166098,0,Unknown,20.0,19.0,13,2012,December,"['Car Park', 'Covered car park', 'CCTV', 'Gymnasium room', 'Launderette', 'Lift lobby', 'Mini-Mart', 'Playground', '24 hours security', 'Swimming pool']",990000
10869807,Nonthaburi,Mueang Nonthaburi,Bang Khen,Nakhon In,Condo,1544.0,1.0,1.0,35,1,173.0,13.83663,100.504437,0,Unknown,20.0,5.0,3,2015,April,"['Basketball court', 'Covered car park', 'Fitness corner', 'Library', 'Swimming pool']",1490000
10753754,Samut Prakan,Phra Samut Jadee,Nai Khlong Bang Pla Kot,ประชาอุทิศ-วัดคู่สร้าง,Townhouse,1707.0,3.0,3.0,139,1,92.0,13.5875125,100.5223594,0,Unknown,15.0,9.0,3,2000,March,"['Car Park', 'Covered car park', 'Mini-Mart', 'Multi-Storey Car Park', 'Open car park', 'Playground', '24 hours security']",2200000
10818097,Nonthaburi,Bang Bua Thong,Bang Rak Phatthana,Janthongeam Road,Condo,1870.0,1.0,1.0,23,5,90.0,13.88957,100.405623,1,"[['PP01 Khlong Bang Phai MRT', 370]]",14.0,9.0,13,2015,December,"['Covered car park', 'Community Garden', 'CCTV', 'Fitness corner', 'Library', '24 hours security', 'Swimming pool']",1100999
10147102,Samut Prakan,Bang Phli,Bang Kaeo,90/239 Burapha Withi Expressway,Townhouse,238.0,3.0,4.0,190,1,88.0,13.6625843453,100.6543250531,0,Unknown,12.0,4.0,6,2013,January,"['Clubhouse', 'Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",8800000
10988559,Bangkok,Watthana,Khlong Tan Nuea,Sukhumvit 55,Condo,1098.0,1.0,1.0,33,18,197.0,13.7316075514,100.584646842,0,Unknown,20.0,18.0,20,2022,October,"['Adult Fitness Stations', 'Aircon Facilities', 'Billiards room', 'Cafes', 'Car Park', 'Covered car park', 'Clubhouse', 'Community Garden', 'CCTV', 'Driving range', 'Eateries', 'Fitness corner', 'Game room', 'Jacuzzi', 'Jogging track', 'Karaoke', 'Lap pool', 'Lift lobby', 'Lounge', 'Main entrance', 'Meeting room', 'Mini-Mart', 'Multi-Storey Car Park', 'Open car park', 'Pantry', 'Sauna', '24 hours security', 'Sky Lounge', 'Spa pool', 'Steam bath', 'Swimming pool']",9070000
10094960,Bangkok,Pathum Wan,Lumphini,5/2 Ploenchit Road,Condo,138.0,1.0,1.0,33,1,177.0,13.735834,100.550698,2,"[['E3 Nana BTS', 710], ['E2 Ploen Chit BTS', 840]]",20.0,9.0,20,2016,January,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Jacuzzi', 'Lift lobby', 'Sauna', '24 hours security', 'Steam bath', 'Swimming pool']",5500000
10997562,Samut Prakan,Mueang Samut Prakan,Samrong Nuea,Sukhumvit Road,Condo,1770.0,1.0,1.0,28,15,158.0,13.646183,100.595117,1,"[['E15 Samrong BTS', 60]]",20.0,16.0,20,2017,March,"['Badminton hall', 'Car Park', 'Community Garden', 'CCTV', 'Fitness corner', 'Lift lobby', 'Mini golf range', 'Multi-purpose hall', '24 hours security', 'Swimming pool']",2800000
10380817,Samut Prakan,Mueang Samut Prakan,Pak Nam,Sukhumvit,Condo,1576.0,2.0,1.0,48,21,139.0,13.6209747963,100.5900846911,1,"[['E17 Chang Erawan BTS', 80]]",19.0,8.0,4,2015,June,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",3500000
10762041,Bangkok,Huai Khwang,Huai Khwang,"195 Rama 9 Road, Soi 5",Condo,1911.0,2.0,2.0,58,1,119.0,13.7561782114,100.568285373,3,"[['BL20 Phra Ram 9 MRT', 390], ['E4 Asok BTS', 920], ['A6 Makkasan Airport Link', 970]]",15.0,14.0,20,2022,April,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Function room', 'Game room', 'Launderette', 'Library', 'Lounge', 'Mini golf range', 'Mini-Mart', 'Multi-purpose hall', 'Pavillion', 'Playground', 'Putting Green', 'Sauna', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Tennis courts']",9478095
10887666,Samut Prakan,Mueang Samut Prakan,Samrong Nuea,"Soi Sridan 18, Srinakarin Road",Townhouse,93.0,4.0,3.0,99,1,100.0,13.643353,100.637945,0,Unknown,11.0,9.0,11,2014,April,"['Community Garden', 'CCTV', '24 hours security']",6950000
10924469,Bangkok,Chatuchak,Lat Yao,(พหลโยธิน-วิภาวดี) แขวงลาดยาว เขตจตุจักร กทม,Condo,448.0,1.0,1.0,31,2,94.0,13.857099,100.576844,2,"[['N15 Bang Bua BTS', 670], ['N14 Royal Forest Department BTS', 900]]",13.0,6.0,3,2018,June,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Function room', 'Library', 'Lounge', 'Mini-Mart', 'Pavillion', '24 hours security', 'Swimming pool']",2950000
10795155,Nonthaburi,Bang Yai,Sao Thong Hin,Rattanathibet Road,Condo,1013.0,1.0,1.0,24,24,87.0,13.875603,100.413584,2,"[['PP03 Sam Yaek Bang Yai MRT', 650], ['PP02 Talad Bang Yai MRT', 760]]",16.0,20.0,20,2018,May,"['Covered car park', 'Community Garden', 'CCTV', 'Fitness corner', 'Game room', 'Sauna', '24 hours security', 'Swimming pool']",2500000
10824290,Bangkok,Chatuchak,Sena Nikhom,Phaholyothin Road,Condo,229.0,1.0,1.0,25,2,74.0,13.8457228689,100.5805871661,2,"[['N13 Kasetsart University BTS', 530], ['N14 Royal Forest Department BTS', 550]]",20.0,7.0,4,2017,December,"['Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",2300000
11004680,Samut Prakan,Bang Sao Thong,Sisa Chorakhe Noi,Ladkrabang Road,Townhouse,449.0,3.0,2.0,70,2,68.0,13.695525,100.785754,0,Unknown,19.0,2.0,2,2000,March,['24 hours security'],1890000
9593755,Bangkok,Phaya Thai,Sam Sen Nai,21 Pradiphat Road,Condo,981.0,2.0,1.0,52,1,80.0,13.7908705133,100.5460723178,3,"[['N7 Saphan Kwai BTS', 480], ['N6 Sena Ruam BTS', 480], ['BL12 Kamphaeng Phet MRT', 840]]",18.0,14.0,20,2019,October,"['BBQ pits', 'Covered car park', 'Clubhouse', 'CCTV', 'Fitness corner', 'Function room', 'Game room', 'Gymnasium room', 'Jacuzzi', 'Launderette', 'Library', 'Lounge', 'Multi-purpose hall', 'Open car park', 'Playground', 'Reflexology Path', 'Sauna', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Wading pool']",8700000
10737573,Bangkok,Saphan Sung,Saphan Sung,ถนน กาญจนาภิเษก ถนน ศรีนครินทร์ - ร่มเกล้า,Townhouse,1043.5,3.0,4.0,88,1,92.0,13.8654263,100.6773403,0,Unknown,18.0,4.0,3,2000,March,"['Covered car park', 'Playground', '24 hours security', 'Swimming pool']",3800000
10854825,Bangkok,Sai Mai,O Ngoen,คลองถนน,Townhouse,1106.0,3.0,2.0,95,1,72.0,13.9023034,100.6432195,0,Unknown,17.0,6.0,6,2000,December,['24 hours security'],3200000
10988933,Nonthaburi,Bang Kruai,Maha Sawat,สวนผัก 32,Townhouse,1168.5,3.0,2.0,130,1,84.0,13.8089875,100.4245469,0,Unknown,16.0,8.0,2,2000,May,"['Covered car park', '24 hours security']",4000000
7532081,Nonthaburi,Pak Kret,Khlong Kluea,Chaeng Watthana Road,Condo,1231.0,1.0,1.0,26,1,83.0,13.897264621,100.5523397718,0,Unknown,15.0,6.0,8,2013,January,"['Car Park', 'CCTV', 'Gymnasium room', 'Mini-Mart', '24 hours security', 'Swimming pool']",1800000
10715206,Bangkok,Din Daeng,Din Daeng,624 Asoke-Dindaeng Road,Condo,543.0,1.0,1.0,34,3,81.0,13.7567573,100.559701,3,"[['BL20 Phra Ram 9 MRT', 590], ['A6 Makkasan Airport Link', 690], ['E4 Asok BTS', 930]]",11.0,8.0,19,2019,October,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Lift lobby', 'Sauna', '24 hours security', 'Steam bath', 'Swimming pool']",4150000
11008107,Bangkok,Don Mueang,Si Kan,Si Khan,Townhouse,357.5,2.0,2.0,80,1,80.0,13.9366625,100.5796406,0,Unknown,7.0,4.0,1,2000,July,[],1850000
10798751,Bangkok,Nong Khaem,Nong Khang Phlu,Soi Moobaan Taweethong,Townhouse,172.0,3.0,2.0,120,1,76.0,13.7188288569,100.3451128289,0,Unknown,9.0,4.0,3,2009,January,"['Car Park', '24 hours security']",1890000
10939185,Bangkok,Don Mueang,Si Kan,115/98 นาวงประชาพัฒนา 21,Detached House,262.0,3.0,3.0,185,1,260.0,13.9508125,100.5687969,0,Unknown,10.0,6.0,1,2000,January,"['Covered car park', '24 hours security']",6490000
10981364,Bangkok,Ratchathewi,Makkasan,1088 Phetchaburi Road,Condo,352.0,1.0,1.0,47,32,204.0,13.749185,100.543761,3,"[['E1 Chit Lom BTS', 590], ['A7 Ratchaprarop Airport Link', 670], ['E2 Ploen Chit BTS', 860]]",12.0,17.0,20,2015,March,"['Covered car park', 'CCTV', 'Fitness corner', 'Lap pool', 'Sauna', '24 hours security', 'Steam bath', 'Swimming pool']",7290000
11028683,Bangkok,Suan Luang,Suan Luang,Srinakarin Road,Condo,1152.0,1.0,1.0,32,5,148.0,13.744081,100.644114,1,"[['A4 Hua Mak Airport Link', 680]]",13.0,5.0,3,2009,March,"['Covered car park', 'CCTV', 'Fitness corner', 'Playground', '24 hours security', 'Swimming pool']",1390000
10627343,Nonthaburi,Pak Kret,Khlong Kluea,Chaeng Watthana Road,Condo,1231.0,1.0,1.0,34,17,92.0,13.897264621,100.5523397718,0,Unknown,15.0,6.0,8,2013,January,"['Car Park', 'CCTV', 'Gymnasium room', 'Mini-Mart', '24 hours security', 'Swimming pool']",2290000
11047700,Nonthaburi,Bang Bua Thong,Bang Khu Rat,Soi Moobaan Phrueksa 3,Detached House,46.0,5.0,2.0,100,2,36.0,13.9094859889,100.3531281674,0,Unknown,15.0,4.0,2,2000,November,"['Community Garden', 'Playground', 'Swimming pool']",2890000
11008562,Bangkok,Watthana,Phra Khanong Nuea,"36 Soi Sukhumvit 63, Ekamai Road",Condo,273.0,1.0,1.0,47,1,60.0,13.7219444078,100.5848502884,2,"[['E7 Ekkamai BTS', 270], ['E6 Thong Lo BTS', 800]]",14.0,16.0,20,2011,June,"['Car Park', 'Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",5600000
10848813,Bangkok,Chatuchak,Lat Yao,(พหลโยธิน-วิภาวดี) แขวงลาดยาว เขตจตุจักร กทม,Condo,448.0,1.0,1.0,25,12,83.0,13.857099,100.576844,2,"[['N15 Bang Bua BTS', 670], ['N14 Royal Forest Department BTS', 900]]",14.0,6.0,3,2018,June,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Function room', 'Library', 'Lounge', 'Mini-Mart', 'Pavillion', '24 hours security', 'Swimming pool']",2880000
11023206,Bangkok,Watthana,Phra Khanong Nuea,2077 Sukhumvit Road,Condo,490.0,1.0,1.0,44,21,107.0,13.706225334700001,100.6012631105,1,"[['E9 On Nut BTS', 110]]",14.0,7.0,13,2011,April,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",6000000
10997542,Bangkok,Phra Khanong,Bang Chak,Soi Sukhumvit 97,Condo,218.0,1.0,1.0,35,4,131.0,13.698067426,100.6068849509,2,"[['E10 Bang Chak BTS', 260], ['E11 Punnawithi BTS', 940]]",13.0,6.0,9,2011,September,"['CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",2060000
11031554,Bangkok,Thon Buri,Bukkhalo,99 Ratchaphruek Road,Condo,268.0,2.0,2.0,77,8,154.0,13.717645,100.483624,3,"[['S9 Pho Nimit BTS', 300], ['B12 Ratchaphruek BRT', 530], ['S10 Talat Phlu BTS', 880]]",13.0,9.0,20,2011,July,"['Car Park', 'Community Garden', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",6450000
9532011,Nonthaburi,Mueang Nonthaburi,Talat Khwan,ถนน ติวานนท์ 3,Condo,238.0,1.0,1.0,28,3,178.0,13.8488323892,100.5126280428,1,"[['PP12 Ministry of Public Health MRT', 230]]",13.0,6.0,9,2014,August,"['CCTV', '24 hours security']",1550000
10477860,Bangkok,Huai Khwang,Huai Khwang,38 Ratchadapisek Road,Condo,802.0,1.0,1.0,26,10,201.0,13.763912,100.569344,2,"[['BL19 Thailand Cultural Centre MRT', 220], ['BL20 Phra Ram 9 MRT', 830]]",12.0,16.0,20,2017,June,"['Covered car park', 'CCTV', 'Fitness corner', 'Launderette', 'Open car park', 'Playground', '24 hours security', 'Spa pool', 'Swimming pool']",3990000
10883610,Bangkok,Bang Phlat,Bang Yi Khan,"Soi Charansanitwong, Sirinthon Road",Condo,560.0,1.0,1.0,25,1,225.0,13.7838800572,100.4939085012,1,"[['BL06 Sirindhorn MRT', 50]]",12.0,13.0,11,2018,March,"['BBQ pits', 'Car Park', 'CCTV', 'Fitness corner', 'Library', 'Lift lobby', 'Mini-Mart', 'Playground', 'Roof Terrace', 'Sauna', '24 hours security', 'Steam bath', 'Swimming pool']",2490000
8682535,Bangkok,Khlong Toei,Phra Khanong,Sukhumvit Road,Condo,837.0,2.0,2.0,54,4,249.0,13.7109650149,100.5938943245,2,"[['E8 Phra Khanong BTS', 550], ['E9 On Nut BTS', 990]]",12.0,17.0,18,2013,December,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Reflexology Path', '24 hours security', 'Swimming pool']",5200000
11028656,Bangkok,Watthana,Khlong Tan Nuea,"18 Soi Sukhumvit 59, Sukhumvit Road",Condo,228.0,1.0,1.0,36,1,272.0,13.7243773238,100.5816983386,2,"[['E6 Thong Lo BTS', 430], ['E7 Ekkamai BTS', 650]]",11.0,16.0,20,2009,March,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",3700000
10659807,Bangkok,Min Buri,Saen Saep,สุวินทวงศ์,Detached House,384.0,3.0,3.0,220,1,296.0,13.8158125,100.7508125,0,Unknown,11.0,12.0,3,2000,February,"['Covered car park', 'Clubhouse', 'Jacuzzi', 'Playground', '24 hours security', 'Swimming pool']",6200000
10829062,Nonthaburi,Mueang Nonthaburi,Bang Kraso,678 Rattanathibet Road,Condo,540.0,1.0,1.0,31,7,240.0,13.8693817443,100.4897048148,1,"[['PP09 Yaek Nonthaburi 1 MRT', 620]]",13.0,9.0,13,2015,September,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",1500000
10906044,Nonthaburi,Mueang Nonthaburi,Bang Kraso,Rattanathibet Road,Condo,2824.0,1.0,1.0,26,18,184.0,13.8636530348,100.5028675423,2,"[['PP10 Bang Krasor MRT', 260], ['PP09 Yaek Nonthaburi 1 MRT', 980]]",16.0,16.0,11,2016,December,"['Covered car park', 'Clubhouse', 'CCTV', 'Fitness corner', 'Launderette', 'Playground', '24 hours security', 'Swimming pool']",1500000
11002007,Bangkok,Lak Si,Thung Song Hong,Thung Song Hong,Townhouse,2032.6666666666665,3.0,3.0,160,1,128.0,13.8873958,100.5689948,0,Unknown,18.0,3.0,6,2000,March,[],3990000
